Fri 12 Jul 2024 05:25:34 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=108 ttl=255 time=4.29 ms
Fri 12 Jul 2024 05:25:35 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=109 ttl=255 time=19.9 ms
Fri 12 Jul 2024 05:25:36 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=110 ttl=255 time=11.4 ms
Fri 12 Jul 2024 05:25:37 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=111 ttl=255 time=14.1 ms
Fri 12 Jul 2024 05:25:38 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=112 ttl=255 time=24.1 ms
Fri 12 Jul 2024 05:25:39 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=113 ttl=255 time=18.8 ms
Fri 12 Jul 2024 05:25:40 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=114 ttl=255 time=12.1 ms
Fri 12 Jul 2024 05:25:41 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=115 ttl=255 time=35.0 ms
Fri 12 Jul 2024 05:25:42 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=116 ttl=255 time=18.4 ms
Fri 12 Jul 2024 05:25:43 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=117 ttl=255 time=7.18 ms
Fri 12 Jul 2024 05:25:44 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=118 ttl=255 time=9.49 ms
Fri 12 Jul 2024 05:25:45 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=119 ttl=255 time=18.5 ms
Fri 12 Jul 2024 05:25:46 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=120 ttl=255 time=10.9 ms
Fri 12 Jul 2024 05:25:47 PM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=121 ttl=255 time=13.7 ms
Fri 12 Jul 2024 05:25:48 PM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=122 ttl=255 time=7.91 ms
Fri 12 Jul 2024 05:25:49 PM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=123 ttl=255 time=9.93 ms
Fri 12 Jul 2024 05:25:50 PM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=124 ttl=255 time=11.1 ms
Fri 12 Jul 2024 05:25:51 PM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=125 ttl=255 time=21.5 ms
