Sat 13 Jul 2024 02:32:32 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=129 ttl=255 time=6.40 ms
Sat 13 Jul 2024 02:32:33 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=130 ttl=255 time=5.15 ms
Sat 13 Jul 2024 02:32:34 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=131 ttl=255 time=7.61 ms
Sat 13 Jul 2024 02:32:35 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=132 ttl=255 time=11.9 ms
Sat 13 Jul 2024 02:32:36 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=133 ttl=255 time=16.1 ms
Sat 13 Jul 2024 02:32:37 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=134 ttl=255 time=15.0 ms
Sat 13 Jul 2024 02:32:38 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=135 ttl=255 time=8.74 ms
Sat 13 Jul 2024 02:32:39 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=136 ttl=255 time=3.66 ms
Sat 13 Jul 2024 02:32:40 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=137 ttl=255 time=17.0 ms
Sat 13 Jul 2024 02:32:41 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=138 ttl=255 time=3.76 ms
Sat 13 Jul 2024 02:32:42 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=139 ttl=255 time=21.1 ms
Sat 13 Jul 2024 02:32:43 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=140 ttl=255 time=7.43 ms
Sat 13 Jul 2024 02:32:44 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=141 ttl=255 time=9.37 ms
Sat 13 Jul 2024 02:32:45 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=142 ttl=255 time=6.67 ms
Sat 13 Jul 2024 02:32:46 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=143 ttl=255 time=9.70 ms
Sat 13 Jul 2024 02:32:47 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=144 ttl=255 time=4.98 ms
Sat 13 Jul 2024 02:32:48 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=145 ttl=255 time=8.44 ms
Sat 13 Jul 2024 02:32:49 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=146 ttl=255 time=4.22 ms
